"speciesid","Year","spending"
"131",2002,137589.793774319
"131",2003,68578.7135869565
"131",2004,109986.192165167
"131",2005,85151.2288786482
"131",2006,280025.53422619
"131",2007,276550.361794501
"131",2008,144610.138411519
"131",2009,247330.467132867
"131",2010,126212.452544704
"131",2011,82591.8341485104
"131",2012,149079.726480836
"131",2013,266844.472532189
"141",2014,1145442.28390368
"141",2015,6852667.13164557
"141",2016,954766.625
"141",1996,1619940.72657744
"141",1997,1588904.65420561
"141",1998,1867571.7791411
"141",1999,108720.828331333
"141",2000,75010.2787456446
"141",2001,581680.011293055
"141",2002,750286.659255142
"141",2003,701252.413043478
"141",2004,804943.951826363
"141",2005,413763.437788018
"141",2006,401363.407738095
"141",2007,913969.97829233
"141",2008,741219.739897817
"141",2009,550875.104895105
"141",2010,1050412.51719395
"141",2011,1252200.53357048
"141",2012,1537801.80836237
"141",2013,1300715.19399142
"158",2014,16050.0633713561
"158",2015,1714.66582278481
"158",2016,6127.5
"158",1996,32804.9713193117
"158",1997,8399.06542056075
"158",1998,1804.41717791411
"158",1999,0
"158",2000,1423.34494773519
"158",2001,107796.945228684
"158",2002,32016.9538632574
"158",2003,13320.652173913
"158",2004,1686.76548438327
"158",2005,15059.9078341014
"158",2006,34621.5907738095
"158",2007,28294.6845151954
"158",2008,2262.02368787738
"158",2009,7198.74125874126
"158",2010,17204.1994497937
"158",2011,24788.9933303691
"158",2012,2135.01742160279
"158",2013,25139.0549356223
"173",2014,1417459.79340938
"173",2015,968566.944303797
"173",2016,967081.87875
"173",2003,75261.6847826087
"173",2004,98481.1540497618
"173",2005,761422.665130568
"173",2006,776568.226190476
"173",2007,767294.240231548
"173",2008,228966.431955411
"173",2009,910072.868531468
"173",2010,1748487.88445667
"173",2011,1551718.4006225
"173",2012,1183297.11062718
"173",2013,1080033.67596567
"175",2014,3393420.37262357
"175",2015,1695831.38734177
"175",2016,853721.08625
"175",2001,0
"175",2002,1362.42356864925
"175",2003,6627.02445652174
"175",2004,258607.098994177
"175",2005,1380461.43164363
"175",2006,4086889.3125
"175",2007,593951.90593343
"175",2008,6821580.39572689
"175",2009,2254694.8965035
"175",2010,1625743.46767538
"175",2011,5953225.07247666
"175",2012,4919783.62761324
"175",2013,2236351.30815451
"241",2014,5083089.24081115
"241",2015,3400724.23544304
"241",2016,4821744.0475
"241",1996,13769339.9617591
"241",1997,13583762.6915888
"241",1998,10661624.4478528
"241",1999,9826994.67587035
"241",2000,9147154.77351916
"241",2001,6577011.46245059
"241",2002,6006850.58087827
"241",2003,6712794.80380435
"241",2004,7794043.76124934
"241",2005,5335453.01228879
"241",2006,4877783.0014881
"241",2007,3893020.37047757
"241",2008,5487296.06781235
"241",2009,9366751.88391608
"241",2010,6937533.58596974
"241",2011,7469624.66118275
"241",2012,7816889.11280488
"241",2013,5794182.93476395
"242",2014,4071.53865652725
"242",2015,10710.9734177215
"242",2016,1920.97125
"242",1996,3436.71128107075
"242",1997,0
"242",1998,16540.490797546
"242",1999,0
"242",2000,0
"242",2001,0
"242",2002,0
"242",2003,0
"242",2004,16867.6548438327
"242",2005,376.497695852535
"242",2006,632.202380952381
"242",2007,118.234442836469
"242",2008,569.205759405481
"242",2009,5141.95804195804
"242",2010,5731.36176066025
"242",2011,1961.6718541574
"242",2012,302.104965156794
"242",2013,429.187982832618
"251",2014,1012704.11787072
"251",2015,839115.879746835
"251",2016,1226358.87125
"251",1996,302290
"251",1997,257041.943925234
"251",1998,287157.957055215
"251",1999,517887.767106843
"251",2000,982264.581881533
"251",2001,1666154.09373235
"251",2002,658020.610339077
"251",2003,777960.720652174
"251",2004,693909.370037057
"251",2005,469367.12749616
"251",2006,747336.160714286
"251",2007,743103.473227207
"251",2008,1387581.33999071
"251",2009,912509.013986014
"251",2010,932241.951856946
"251",2011,642401.759893286
"251",2012,3693060.26263066
"251",2013,832245.991416309
"259",2014,161034.945500634
"259",2015,41041.3227848101
"259",2016,354406.43
"259",1997,42606.1682242991
"259",1998,36238.7116564417
"259",1999,62451.9507803121
"259",2000,69886.2369337979
"259",2001,64354.31959345
"259",2002,112924.477487493
"259",2003,67222.6711956522
"259",2004,148175.860243515
"259",2005,44050.2304147465
"259",2006,137564.806547619
"259",2007,81700
"259",2008,348240.083604273
"259",2009,58732.5874125874
"259",2010,72327.537826685
"259",2011,29239.8088039128
"259",2012,159992.868031359
"259",2013,276865.170386266
"269",2014,75780.1153358682
"269",2015,7197.87341772152
"269",2016,8037.2375
"269",1996,95337.4952198853
"269",1997,107355.327102804
"269",1998,66913.8036809816
"269",1999,79591.2965186074
"269",2000,166118.588850174
"269",2001,63662.3376623377
"269",2002,40872.7070594775
"269",2003,5461.46739130435
"269",2004,13883.3774483854
"269",2005,9788.9400921659
"269",2006,121765.825892857
"269",2007,87966.4254703328
"269",2008,78840.6897352531
"269",2009,91932.4965034965
"269",2010,98183.8459422283
"269",2011,135964.566029346
"269",2012,43567.1655052265
"269",2013,85964.8802575107
"282",2015,4053.9746835443
"282",2016,4728.3875
"282",1996,23432.1223709369
"282",1997,111478.504672897
"282",1998,179689.877300614
"282",1999,154151.128451381
"282",2000,157991.289198606
"282",2001,130092.603049125
"282",2002,0
"282",2003,34343.3054347826
"282",2004,35076.9370037057
"282",2005,86388.6513056836
"282",2006,71930.0416666667
"282",2007,87625.9102749638
"282",2008,60438.2675336739
"282",2009,73815.6643356643
"282",2010,43490.9215955983
"282",2011,148697.995998221
"282",2012,9073.82404181185
"282",2013,6447.28712446352
"296",2014,154884.147021546
"296",2015,184393.797468354
"296",2016,156751.6625
"298",2014,154884.147021546
"298",2015,184393.797468354
"298",2016,156751.6625
"298",1996,24994.2638623327
"298",1997,41231.7757009346
"298",1998,37592.0245398773
"298",1999,39722.0888355342
"298",2000,35725.9581881533
"298",2001,1383.96386222473
"298",2002,5449.694274597
"298",2003,18648.9130434783
"298",2004,20184.0952885124
"298",2005,37919.5929339478
"298",2006,46660.1830357143
"298",2007,63255.4269175108
"298",2008,88226.8927078495
"298",2009,84206.9902097902
"298",2010,66416.3686382393
"298",2011,59395.0644730992
"298",2012,118333.340592334
"298",2013,96777.6824034335
"294",2014,1041696.74524715
"294",2015,72161.7835443038
"294",2016,71859.235
"294",1996,95290.6309751434
"294",1997,34970.6542056075
"294",1998,14510.5214723926
"294",1999,128684.855942377
"294",2000,139886.341463415
"294",2001,80909.2953133823
"294",2002,79551.9121734297
"294",2003,15784.972826087
"294",2004,25171.7310746427
"294",2005,51744.5883256528
"294",2006,157847.561011905
"294",2007,516465.781476121
"294",2008,89121.6841616349
"294",2009,212088.629370629
"294",2010,74176.1829436039
"294",2011,233467.285904847
"294",2012,419713.467334495
"294",2013,280850.938197425
"293",2014,3094.03802281369
"293",2015,5326.01265822785
"293",2016,1155.03375
"293",1996,8747.99235181644
"293",1997,8948.82242990654
"293",1998,5713.98773006135
"293",1999,11769.5078031212
"293",2000,1423.34494773519
"293",2001,19859.8814229249
"293",2002,408.727070594775
"293",2003,712.654891304348
"293",2004,8985.26998411858
"293",2005,12945.2457757296
"293",2006,31579.724702381
"293",2007,32494.3719247467
"293",2008,21182.4231305156
"293",2009,22233.8265734266
"293",2010,34388.1705639615
"293",2011,12537.2627834593
"293",2012,19092.3932926829
"293",2013,10519.313304721
"297",2014,6208.78580481622
"297",2015,6556.6835443038
"297",2016,26169.53125
"297",1996,12497.1319311663
"297",1997,128276.635514019
"297",1998,97739.263803681
"297",1999,47225.150060024
"297",2000,61488.5017421603
"297",2001,1383.96386222473
"297",2002,0
"297",2003,0
"297",2004,0
"297",2005,12022.8264208909
"297",2006,57339.5401785714
"297",2007,29344.6063675832
"297",2008,62308.6776590803
"297",2010,8247.54195323246
"297",2011,3923.34370831481
"297",2012,11958.2325783972
"297",2013,10719.1802575107
"295",2014,29629.4524714829
"295",2015,23282.4316455696
"295",2016,24215.88
"295",1996,12497.1319311663
"295",1997,126749.53271028
"295",1998,97739.263803681
"295",1999,47225.150060024
"295",2000,61488.5017421603
"295",2001,0
"295",2002,0
"295",2003,1562.5125
"295",2004,2076.01905770249
"295",2005,43523.133640553
"295",2007,28467.3068017366
"295",2008,11953.3209475151
"295",2009,19406.8923076923
"295",2010,52265.5240715268
"295",2011,40650.2000889284
"295",2012,74757.6350174216
"295",2013,41723.8042918455
"299",2014,1625250.12674271
"299",2015,1734620.2721519
"299",2016,944704.24875
"299",1996,351481.835564054
"299",1997,995823.738317757
"299",1998,940251.717791411
"299",1999,1574907.26290516
"299",2000,1380900.80139373
"299",2001,1302863.57989836
"299",2002,1395530.46136743
"299",2003,1406620.9076087
"299",2004,907272.22869243
"299",2005,1425941.09831029
"299",2006,1803517.77380952
"299",2007,1505369.20260492
"299",2008,2514523.36274965
"299",2009,1224101.38741259
"299",2010,6549196.74140303
"299",2011,1181068.13250333
"299",2012,532649.483885017
"299",2013,509813.259656652
"305",2014,1687502.62737643
"305",2015,1409871.04556962
"305",2016,389433.2625
"305",1996,443070.191204589
