"speciesid","speciesname","taxon","conservation_status","listed"
"19426","Sporodictyon terrestre","Fungi","4",0
"19427","Physcia americana","Fungi","5",0
"19428","Lejeunea flava","Plants","5",0
"19429","Oligotrichum aligerum","Plants","5",0
"19430","Grimmia ramondii","Plants","4",0
"19431","Conardia compacta","Plants","5",0
"19432","Xanthoparmelia dissensa","Fungi","1",0
"19433","Xanthoparmelia dierythra","Fungi","2 ",0
"19434","Diploschistes candidissimus","Fungi","UNK",0
"19435","Clypeococcum hypocenomycis","Fungi","UNK",0
"19436","Xanthoparmelia mexicana","Fungi","5",0
"19437","Bartramia potosica","Plants","3",0
"19438","Lecidea mamillana","Fungi","UNK",0
"19439","Lopadium pezizoideum","Fungi","UNK",0
"19440","Dicranum elongatum","Plants","5",0
"19441","Speerschneidera euploca","Fungi","4",0
"19442","Jaffueliobryum wrightii","Plants","4",0
"19443","Stereocaulon tomentosum","Fungi","5",0
"19444","Anomomorpha turbulenta","Fungi","UNK",0
"19445","Endocarpon adsurgens","Fungi","UNK",0
"19446","Lecidella elaeochroma","Fungi","5",0
"19447","Collema subparvum","Fungi","UNK",0
"19448","Cladonia poroscypha","Fungi","UNK",0
"19449","Physcia tenella","Fungi","5",0
"19450","Acarospora fuscata","Fungi","5",0
"19451","Brotherella canadensis","Plants","UNK",0
"19452","Miriquidica atrofulva","Fungi","UNK",0
"19453","Brachythecium rivulare","Plants","5",0
"19454","Pohlia atropurpurea","Plants","4",0
"19455","Tetrodontium repandum","Plants","2 ",0
"19456","Straminergon stramineum","Plants","5",0
"19457","Warnstorfia fluitans","Plants","5",0
"19458","Diphyscium mucronifolium","Plants","4",0
"19459","Blindia acuta","Plants","5",0
"19460","Sphagnum portoricense","Plants","5",0
"19461","Catoscopium nigritum","Plants","5",0
"19462","Pseudoleskea radicosa","Plants","5",0
"19463","Lecanora populicola","Fungi","UNK",0
"19464","Lichinella stipatula","Fungi","UNK",0
"19465","Leptogium hirsutum","Fungi","5",0
"19466","Alectoria lata","Fungi","3",0
"19467","Pycnora praestabilis","Fungi","4",0
"19468","Caloplaca litoricola","Fungi","UNK",0
"19469","Bacidia helicospora","Fungi","UNK",0
"19470","Biatora beckhausii","Fungi","5",0
"19471","Xanthopsorella texana","Fungi","UNK",0
"19472","Ramboldia elabens","Fungi","UNK",0
"19473","Chapsa leprocarpa","Fungi","UNK",0
"19474","Thelotrema monospermum","Fungi","UNK",0
"19475","Usnea californica","Fungi","UNK",0
"19476","Lecanora phaeophora","Fungi","UNK",0
"19477","Aspicilia limitata","Fungi","UNK",0
"19478","Micarea turfosa","Fungi","4",0
"19479","Asahinea chrysantha","Fungi","5",0
"19480","Schistidium atrichum","Plants","UNK",0
"19481","Gemmabryum apiculatum","Plants","5",0
"19482","Cryphaea nervosa","Plants","4",0
"19483","Barbilophozia barbata","Plants","5",0
"19484","Ephemerum serratum","Plants","4",0
"19485","Tetramelas triphragmioides","Fungi","4",0
"19486","Scapania microdonta","Plants","3",0
"19487","Orthotrichum anomalum","Plants","5",0
"19488","Polycauliona verruculifera","Fungi","4",0
"19489","Peccania subnigra","Fungi","UNK",0
"19490","Pertusaria stenhammarii","Fungi","4",0
"19491","Ochrolechia pseudopallescens","Fungi","UNK",0
"19492","Parmotrema rampoddense","Fungi","5",0
"19493","Peltigera retifoveata","Fungi","4",0
"19494","Parmotrema subtinctorium","Fungi","5",0
"19495","Cololejeunea sintenisii","Plants","1",0
"19496","Psoroma tenue","Fungi","4",0
"19497","Stereocaulon octomerum","Fungi","UNK",0
"19498","Leptostomopsis systylia","Plants","5",0
"19499","Ditrichum lineare","Plants","5",0
"19500","Cinclidium subrotundum","Plants","UNK",0
"19501","Rinodina brouardii","Fungi","UNK",0
"19502","Lecidea carnulenta","Fungi","UNK",0
"19503","Physconia elegantula","Fungi","4",0
"19504","Gyalecta friesii","Fungi","UNK",0
"19505","Ramonia valenzueliana","Fungi","UNK",0
"19506","Bryoerythrophyllum inaequalifolium","Plants","4",0
"19507","Ulota obtusiuscula","Plants","4",0
"19508","Nadvornikia peninsulae","Fungi","UNK",0
"19509","Dimidiographa longissima","Fungi","UNK",0
"19510","Acarospora stapfiana","Fungi","UNK",0
"19511","Bacidia friesiana","Fungi","UNK",0
"19512","Trapelia placodioides","Fungi","5",0
"19513","Bacidia auerswaldii","Fungi","UNK",0
"19514","Cumathamnion sympodophyllum","Protists","3",0
"19515","Carbonea vorticosa","Fungi","4",0
"19516","Coccocarpia palmicola","Fungi","5",0
"19517","Leptopterigynandrum austroalpinum","Plants","4",0
"19518","Graphis lineola","Fungi","UNK",0
"19519","Buelliella minimula","Fungi","UNK",0
"19520","Buelliella physciicola","Fungi","UNK",0
"19521","Arthonia impallens","Fungi","UNK",0
"19522","Amandinea milliaria","Fungi","UNK",0
"19523","Rinodina pachysperma","Fungi","UNK",0
"19524","Calvitimela armeniaca","Fungi","5",0
"19525","Calicium parvum","Fungi","UNK",0
"19526","Polyblastia gothica","Fungi","3",0
"19527","Pseudoleskeella rupestris","Plants","5",0
"19528","Caloplaca brunneola","Fungi","UNK",0
"19529","Lejeunea cladogyna","Plants","3",0
"19530","Leproplaca chrysodeta","Fungi","UNK",0
"19531","Usnea glabrata","Fungi","5",0
"19532","Toninia massata","Fungi","4",0
"19533","Drepanolejeunea appalachiana","Plants","2 ",0
"19534","Pterygoneurum lamellatum","Plants","4",0
"19535","Dermatocarpon lorenzianum","Fungi","2 ",0
"19536","Placidium rufescens","Fungi","4",0
"19537","Forsstroemia trichomitria","Plants","5",0
"19538","Elodium blandowii","Plants","5",0
"19539","Cladonia simulata","Fungi","UNK",0
"19540","Rhizocarpon petraeum","Fungi","UNK",0
"19541","Rhizocarpon saanaense","Fungi","UNK",0
"19542","Cladonia rangiferina","Fungi","5",0
"19543","Rhizocarpon santessonii","Fungi","UNK",0
"19544","Gemmabryum coronatum","Plants","5",0
"19545","Bryum oblongum","Plants","4",0
"19546","Hygrohypnum duriusculum","Plants","5",0
"19547","Sarmentypnum tundrae","Plants","5",0
"19548","Aspicilia verrucigera","Fungi","UNK",0
"19549","Tetraplodon paradoxus","Plants","4",0
"19550","Pohlia cruda","Plants","5",0
"19551","Wahlenbergiella mucosa","Fungi","4",0
"19552","Lambiella gyrizans","Fungi","UNK",0
"19553","Radula quadrata","Plants","4",0
"19554","Spathularia flavida","Fungi","4",0
"19555","Orthotrichum diaphanum","Plants","5",0
"19556","Leucodecton glaucescens","Fungi","UNK",0
"19557","Thelenella hassei","Fungi","3",0
"19558","Astrothelium aeneum","Fungi","UNK",0
"19559","Riccardia chamedryfolia","Plants","5",0
"19560","Orthotrichum lyellii","Plants","4",0
"19561","Peltula patellata","Fungi","4",0
"19562","Megalaria pulverea","Fungi","UNK",0
"19563","Scytinium dactylinum","Fungi","UNK",0
"19564","Heterocarpon ochroleucum","Fungi","UNK",0
"19565","Heteroplacidium compactum","Fungi","3",0
"19566","Xanthoparmelia neotaractica","Fungi","3",0
"19567","Arthonia macounii","Fungi","UNK",0
"19568","Metzgeria pubescens","Plants","5",0
"19569","Circinaria elmorei","Fungi","UNK",0
"19570","Amygdalaria pelobotryon","Fungi","4",0
"19571","Phaeographis asteroides","Fungi","UNK",0
"19572","Ramalina inflata","Fungi","UNK",0
"19573","Lichenostigma alpinum","Fungi","UNK",0
"19574","Pyrenocollema prospersellum","Fungi","UNK",0
"19575","Lophozia murmanica","Plants","1",0
"19576","Lecanora granulifera","Fungi","UNK",0
"19577","Andreaea obovata","Plants","4",0
"19578","Leproplaca cirrochroa","Fungi","4",0
"19579","Bacidina chloroticula","Fungi","UNK",0
"19580","Multiclavula vernalis","Fungi","5",0
"19581","Pyrenula confoederata","Fungi","UNK",0
"19582","Arthonia cupressina","Fungi","UNK",0
"19583","Arthonia cytisi","Fungi","UNK",0
"19584","Arthonia erupta","Fungi","UNK",0
"19585","Pseudosagedia cestrensis","Fungi","4",0
"19586","Hypopterygium flavolimbatum","Plants","4",0
"19587","Parmotrema subisidiosum","Fungi","4",0
"19588","Acarospora obnubila","Fungi","UNK",0
"19589","Scapania paludosa","Plants","5",0
"19590","Dendriscocaulon intricatulum","Fungi","UNK",0
"19591","Tomentypnum nitens","Plants","5",0
"19592","Abietinella abietina","Plants","5",0
"19593","Piccolia ochrophora","Fungi","UNK",0
"19594","Caloplaca epithallina","Fungi","4",0
"19595","Lecanora varia","Fungi","5",0
"19596","Heterodermia crocea","Fungi","3",0
"19597","Staurothele fissa","Fungi","4",0
"19598","Seligeria recurvata","Plants","4",0
"19599","Tetramelas papillatus","Fungi","5",0
"19600","Pyrenula occidentalis","Fungi","4",0
"19601","Thelomma santessonii","Fungi","UNK",0
"19602","Lasallia caroliniana","Fungi","3",0
"19603","Sphagnum inexspectatum","Plants","UNK",0
"19604","Cheilolejeunea rigidula","Plants","5",0
"19605","Aleuria aurantia","Fungi","UNK",0
"19606","Arthrorhaphis alpina","Fungi","5",0
"19607","Polytrichastrum longisetum","Plants","5",0
"19608","Sphagnum annulatum","Plants","UNK",0
"19609","Caloplaca adnexa","Fungi","UNK",0
"19610","Fuscocephaloziopsis albescens","Plants","4",0
"19611","Lophocolea bidentata","Plants","5",0
"19612","Amygdalaria consentiens","Fungi","4",0
"19613","Aschisma kansanum","Plants","1",0
"19614","Niphotrichum panschii","Plants","UNK",0
"19615","Dicranella cerviculata","Plants","5",0
"19616","Lecidea nylanderi","Fungi","4",0
"19617","Amandinea punctata","Fungi","5",0
"19618","Scleropodium julaceum","Plants","UNK",0
"19619","Whidbeyella cartilaginea","Protists","1",0
"19620","Cyrto-hypnum pygmaeum","Plants","4",0
"19621","Grimmia brittoniae","Plants","2 ",0
"19622","Aspicilia cinerea","Fungi","5",0
"19623","Grimmia trichophylla","Plants","5",0
"19624","Tortella fragilis","Plants","5",0
"19625","Chaenothecopsis rappii","Fungi","UNK",0
"19626","Ochrolechia szatalaensis","Fungi","UNK",0
"19627","Mycoglaena myricae","Fungi","UNK",0
"19628","Biatorella hemisphaerica","Fungi","5",0
"19629","Graphis intricata","Fungi","UNK",0
"19630","Scytinium intermedium","Fungi","UNK",0
"19631","Leptogium isidiosellum","Fungi","UNK",0
"19632","Peltigera collina","Fungi","4",0
"19633","Pyxine retirugella","Fungi","UNK",0
"19634","Thelotrema suecicum","Fungi","UNK",0
"19635","Umbilicaria lyngei","Fungi","3",0
"19636","Lichina willeyi","Fungi","UNK",0
"19637","Hypogymnia rugosa","Fungi","5",0
"19638","Physcia neogaea","Fungi","4",0
"19639","Kindbergia praelonga","Plants","5",0
"19640","Lecanactis sp. 1","Fungi","UNK",0
"19641","Lecanora cupressi","Fungi","4",0
"19642","Xanthoparmelia californica","Fungi","2 ",0
"19643","Gymnomitrion concinnatum","Plants","5",0
"19644","Scapania americana","Plants","5",0
"19645","Cetrelia cetrarioides","Fungi","4",0
"19646","Cladonia pseudoevansii","Fungi","UNK",0
"19647","Grimmia montana","Plants","5",0
"19648","Cephaloziella integerrima","Plants","3",0
"19649","Bacidia schweinitzii","Fungi","5",0
"19650","Riccia violacea","Plants","UNK",0
"19651","Rhizocarpon eupetraeoides","Fungi","4",0
"19652","Rhizocarpon eupetraeum","Fungi","4",0
"19653","Lecidea leucothallina","Fungi","3",0
"19654","Arthonia reniformis","Fungi","UNK",0
"19655","Sarcographa labyrinthica","Fungi","UNK",0
"19656","Sarcographa medusulina","Fungi","UNK",0
"19657","Syntrichia fragilis","Plants","5",0
"19658","Blastenia ammiospila","Fungi","4",0
"19659","Gymnomitrion mucrophorum","Plants","1",0
"19660","Sphaerosporoceros adscendens","Plants","3",0
"19661","Plagiomnium carolinianum","Plants","3",0
"19662","Melaspilea cinerascens","Fungi","UNK",0
"19663","Punctelia reddenda","Fungi","5",0
"19664","Lepra commutata","Fungi","UNK",0
"19665","Heterodermia casarettiana","Fungi","4",0
"19666","Loxosporopsis corallifera","Fungi","3",0
"19667","Cladina magnussonii","Fungi","1",0
"19668","Staurothele clopimoides","Fungi","4",0
"19669","Plagiochila exigua","Plants","4",0
"19670","Physcia clementei","Fungi","3",0
"19671","Calypogeia muelleriana","Plants","5",0
"19672","Lichenoconium usneae","Fungi","UNK",0
"19673","Verrucaria degelii","Fungi","UNK",0
"19674","Heterodermia rugulosa","Fungi","4",0
"19675","Heterodermia pseudospeciosa","Fungi","5",0
"19676","Cladonia didyma","Fungi","5",0
"19677","Funaria apiculatopilosa","Plants","3",0
"19678","Inoderma byssaceum","Fungi","UNK",0
"19679","Cladonia boryi","Fungi","5",0
"19680","Protothelenella corrosa","Fungi","UNK",0
"19681","Ramalina paludosa","Fungi","4",0
"19682","Lecanora xanthosora","Fungi","UNK",0
"19683","Panellus stipticus","Fungi","UNK",0
"19684","Trametes versicolor","Fungi","UNK",0
"19685","Lepraria membranacea","Fungi","UNK",0
"19686","Ramalina celastri","Fungi","5",0
"19687","Pertusaria oculata","Fungi","5",0
"19688","Verrucaria silicicola","Fungi","UNK",0
"19689","Pertusaria bryontha","Fungi","4",0
"19690","Pertusaria borealis","Fungi","UNK",0
"19691","Pyrenula ochraceoflavens","Fungi","UNK",0
"19692","Graphis parilis","Fungi","UNK",0
"19693","Cladonia alaskana","Fungi","4",0
"19694","Symblepharis vaginata","Plants","5",0
"19695","Usnea silesiaca","Fungi","UNK",0
"19696","Xanthoparmelia monticola","Fungi","2 ",0
"19697","Micromitrium megalosporum","Plants","4",0
"19698","Toninia sculpturata","Fungi","4",0
"19699","Plagiobryum zieri","Plants","5",0
"19700","Vulpicida juniperina","Fungi","5",0
"19701","Dirinaria leopoldii","Fungi","UNK",0
"19702","Schismatomma glaucescens","Fungi","UNK",0
"19703","Dirinaria frostii","Fungi","4",0
"19704","Collema flaccidum","Fungi","4",0
"19705","Scytinium fragrans","Fungi","UNK",0
"19706","Parmotrema diffractaicum","Fungi","3",0
"19707","Arthonia ochrolutea","Fungi","UNK",0
"19708","Calicium adspersum","Fungi","3",0
"19709","Gloeoheppia squamulosa","Fungi","UNK",0
"19710","Ramalina petrina","Fungi","UNK",0
"19711","Pyrenula subelliptica","Fungi","UNK",0
"19712","Phaeophyscia ciliata","Fungi","4",0
"19713","Schadonia fecunda","Fungi","3",0
"19714","Pyxine berteriana","Fungi","UNK",0
"19715","Psorula rufonigra","Fungi","4",0
"19716","Parmotrema zollingeri","Fungi","UNK",0
"19717","Parmotrema submarginale","Fungi","5",0
"19718","Ochrolechia inaequatula","Fungi","UNK",0
"19719","Muellerella erratica","Fungi","UNK",0
"19720","Cora glabrata","Fungi","4",0
"19721","Lecidea subfilamentosa","Fungi","UNK",0
"19722","Fuscopannaria pulveracea","Fungi","1",0
"19723","Abrothallus welwitschii","Fungi","UNK",0
"19724","Crossidium seriatum","Plants","3",0
"19725","Placopsis cribellans","Fungi","2 ",0
"19726","Polycoccum microsticticum","Fungi","UNK",0
"19727","Lecanora pringlei","Fungi","3",0
"19728","Ptychomitrium sinense","Plants","3",0
"19729","Caloplaca subpyraceella","Fungi","UNK",0
"19730","Squamarina cartilaginea","Fungi","UNK",0
"19731","Scutellinia scutellata","Fungi","UNK",0
"19732","Geastrum saccatum","Fungi","UNK",0
"19733","Lepra panyrga","Fungi","4",0
"19734","Anomodon rostratus","Plants","5",0
"19735","Brachytheciastrum fendleri","Plants","4",0
"19736","Arthonia punctiformis","Fungi","UNK",0
"19737","Leptogium arsenei","Fungi","UNK",0
"19738","Leptogium austroamericanum","Fungi","4",0
"19739","Russula compacta","Fungi","UNK",0
"19740","Flammulina velutipes","Fungi","UNK",0
"19741","Entodon cladorrhizans","Plants","5",0
"19742","Herzogiella striatella","Plants","5",0
"19743","Graphis eulectra","Fungi","UNK",0
"19744","Tritomaria capitata","Plants","4",0
"19745","Lecania fuscella","Fungi","UNK",0
"19746","Usnea trichodea","Fungi","5",0
"19747","Enterographa zonata","Fungi","UNK",0
"19748","Bruchia texana","Plants","4",0
"19749","Herpothallon rubrocinctum","Fungi","UNK",0
"19750","Catillaria nigroclavata","Fungi","UNK",0
"19751","Arthonia cinereopruinosa","Fungi","UNK",0
"19752","Micarea endocyanea","Fungi","UNK",0
"19753","Fissidens littlei","Plants","1",0
"19754","Porphyra fallax","Protists","UNK",0
"19755","Riccia californica","Plants","1",0
"19756","Lambiella caeca","Fungi","UNK",0
"19757","Ochrolechia yasudae","Fungi","3",0
"19758","Pertusaria tetrathalamia","Fungi","4",0
"19759","Cladonia stellaris","Fungi","5",0
"19760","Pertusaria xanthodes","Fungi","4",0
"19761","Rhizocarpon cookeanum","Fungi","UNK",0
"19762","Campylium stellatum","Plants","5",0
"19763","Protoparmelia nephaea","Fungi","UNK",0
"19764","Encalypta ciliata","Plants","5",0
"19765","Frutidella pullata","Fungi","UNK",0
"19766","Frullania kunzei","Plants","4",0
"19767","Xanthoparmelia maricopensis","Fungi","3",0
"19768","Constrictolumina malaccitula","Fungi","UNK",0
"19769","Tortella rigens","Plants","UNK",0
"19770","Schizopelte californica","Fungi","3",0
"19771","Didymodon nicholsonii","Plants","UNK",0
"19772","Cladonia conspicua","Fungi","UNK",0
"19773","Schwetschkeopsis fabronia","Plants","5",0
"19774","Jaffueliobryum raui","Plants","4",0
"19775","Toninia superioris","Fungi","UNK",0
"19776","Usnea mutabilis","Fungi","5",0
"19777","Callicostella pallida","Plants","5",0
"19778","Atrichum altecristatum","Plants","5",0
"19779","Grimmia longirostris","Plants","5",0
"19780","Aspicilia ryrkaipiae","Fungi","3",0
"19781","Alectoria sarmentosa","Fungi","5",0
"19782","Jubula pennsylvanica","Plants","5",0
"19783","Odontoschisma fluitans","Plants","5",0
"19784","Calvitimela aglaea","Fungi","4",0
"19785","Fissidens amoenus","Plants","2 ",0
"19786","Sporopodium phyllocharis","Fungi","UNK",0
"19787","Physcia millegrana","Fungi","5",0
"19788","Arthonia interveniens","Fungi","UNK",0
"19789","Anisomeridium distans","Fungi","UNK",0
"19790","Pyrenula cuyabensis","Fungi","UNK",0
"19791","Catapyrenium daedaleum","Fungi","UNK",0
"19792","Buelliella inops","Fungi","UNK",0
"19793","Taxiphyllum taxirameum","Plants","4",0
"19794","Hypnum revolutum","Plants","5",0
"19795","Thelignya lignyota","Fungi","UNK",0
"19796","Kaernefeltia merrillii","Fungi","5",0
"19797","Acarospora nicolai","Fungi","UNK",0
"19798","Cryphaea glomerata","Plants","5",0
"19799","Ephemerum crassinervium","Plants","4",0
"19800","Mycena leaiana","Fungi","UNK",0
"19801","Micarea prasina","Fungi","UNK",0
"19802","Orthotrichum alpestre","Plants","4",0
"19803","Phaeophyscia rubropulchra","Fungi","5",0
"19804","Arthonia terrigena","Fungi","UNK",0
"19805","Lecidea holopolia","Fungi","UNK",0
"19806","Chaenotheca hispidula","Fungi","UNK",0
"19807","Dimelaena weberi","Fungi","UNK",0
"19808","Cladonia wainioi","Fungi","5",0
"19809","Stigmidium fuscatae","Fungi","UNK",0
"19810","Stigmidium marinum","Fungi","UNK",0
"19811","Cladonia subradiata","Fungi","4",0
"19812","Melanohalea infumata","Fungi","5",0
"19813","Gyalideopsis piceicola","Fungi","UNK",0
"19814","Polycauliona inconspecta","Fungi","2 ",0
"19815","Ptilidium pulcherrimum","Plants","5",0
"19816","Alectoria ochroleuca","Fungi","5",0
"19817","Pseudoleskeella arizonae","Plants","UNK",0
"19818","Claopodium crispifolium","Plants","4",0
"19819","Sphagnum flexuosum","Plants","5",0
"19820","Butyriboletus frostii","Fungi","UNK",0
"19821","Sphagnum cribrosum","Plants","3",0
"19822","Arthonia leucastraea","Fungi","UNK",0
"19823","Xanthomendoza fallax","Fungi","5",0
"19824","Mnium thomsonii","Plants","5",0
"19825","Parmelia fertilis","Fungi","UNK",0
"19826","Amandinea coniops","Fungi","UNK",0
"19827","Placynthiella uliginosa","Fungi","5",0
"19828","Xylographa vitiligo","Fungi","4",0
"19829","Nephroma isidiosum","Fungi","4",0
"19830","Platismatia tuckermanii","Fungi","5",0
"19831","Ocellularia erodens","Fungi","UNK",0
"19832","Gyrographa gyrocarpa","Fungi","UNK",0
"19833","Diplophyllum obtusifolium","Plants","4",0
"19834","Arthonia exilis","Fungi","UNK",0
"19835","Dactylospora parasitica","Fungi","UNK",0
"19836","Flavocetraria nivalis","Fungi","5",0
"19837","Sphaerophorus fragilis","Fungi","5",0
"19838","Andreaea blyttii","Plants","5",0
"19839","Bryoerythrophyllum recurvirostrum","Plants","5",0
"19840","Lecanora brodoana","Fungi","UNK",0
"19841","Oxyporus populinus","Fungi","UNK",0
"19842","Hageniella micans","Plants","4",0
"19843","Grimmia funalis","Plants","4",0
"19844","Encalypta mutica","Plants","3",0
"19845","Cladonia floridana","Fungi","4",0
"19846","Plagiochila sciophila","Plants","UNK",0
"19847","Cheilolejeunea clypeata","Plants","4",0
"19848","Japewia subaurifera","Fungi","UNK",0
"19849","Cladonia gracilis","Fungi","5",0
"19850","Coccocarpia erythroxyli","Fungi","5",0
"19851","Farnoldia hypocrita","Fungi","UNK",0
"19852","Ptychostomum bimum","Plants","5",0
"19853","Allocetraria madreporiformis","Fungi","UNK",0
"19854","Orthotrichum hallii","Plants","4",0
"19855","Frullania californica","Plants","4",0
"19856","Bruchia brevifolia","Plants","3",0
"19857","Rhodoglossum minimum","Protists","UNK",0
"19858","Porina linearis","Fungi","UNK",0
"19859","Plagiochila echinata","Plants","2 ",0
"19860","Lecidea silacea","Fungi","4",0
"19861","Psora montana","Fungi","4",0
"19862","Euopsis pulvinata","Fungi","UNK",0
"19863","Calicium notarisii","Fungi","UNK",0
"19864","Myurella tenerrima","Plants","5",0
"19865","Plagiomnium ciliare","Plants","5",0
"19866","Syrrhopodon gaudichaudii","Plants","5",0
"19867","Trichostomum portoricense","Plants","4",0
"19868","Pyrenula wetmorei","Fungi","UNK",0
"19869","Pyxine petricola","Fungi","4",0
"19870","Sphagnum cyclophyllum","Plants","3",0
"19871","Isothecium cristatum","Plants","UNK",0
"19872","Plagiopus oederianus","Plants","5",0
"19873","Haplodontium macrocarpum","Plants","2 ",0
"19874","Sphagnum pylaesii","Plants","4",0
"19875","Bartramia ithyphylla","Plants","5",0
"19876","Pyxine eschweileri","Fungi","4",0
"19877","Agonimia gelatinosa","Fungi","4",0
"19878","Cladonia leporina","Fungi","4",0
"19879","Bruchia fusca","Plants","1",0
"19880","Schaereria parasemella","Fungi","UNK",0
"19881","Asterella palmeri","Plants","3",0
"19882","Aspicilia anseris","Fungi","4",0
"19883","Heterodermia albicans","Fungi","4",0
"19884","Limbella fryei","Plants","1",0
"19885","Sarcogyne dakotensis","Fungi","UNK",0
"19886","Bactrospora denticulata","Fungi","UNK",0
"19887","Lecidella effugiens","Fungi","UNK",0
"19888","Lecidea umbonata","Fungi","4",0
"19889","Lecidella dimelaenophila","Fungi","2 ",0
"19890","Lecanora leptacina","Fungi","2 ",0
"19891","Hypotrachyna densirhizinata","Fungi","5",0
"19892","Brachytheciastrum trachypodium","Plants","UNK",0
"19893","Schistidium robustum","Plants","UNK",0
"19894","Sciuro-hypnum latifolium","Plants","4",0
"19895","Caloplaca diphyodes","Fungi","3",0
"19896","Niebla procera","Fungi","UNK",0
"19897","Rockefellera crossophylla","Fungi","UNK",0
"19898","Graphis elegans","Fungi","UNK",0
"19899","Medusulina texana","Fungi","UNK",0
"19900","Megalaria grossa","Fungi","UNK",0
"19901","Splachnum rubrum","Plants","5",0
"19902","Philonotis gracillima","Plants","5",0
"19903","Ptychostomum longisetum","Plants","5",0
"19904","Hygrohypnum molle","Plants","4",0
"19905","Obtusifolium obtusum","Plants","4",0
"19906","Harpalejeunea stricta","Plants","3",0
"19907","Stereocaulon subcoralloides","Fungi","3",0
"19908","Leptogidium contortum","Fungi","4",0
"19909","Peltula radicata","Fungi","UNK",0
"19910","Plagiochila arctica","Plants","4",0
"19911","Cheilolejeunea unciloba","Plants","4",0
"19912","Rhizocarpon alpicola","Fungi","UNK",0
"19913","Sphagnum austinii","Plants","5",0
"19914","Myriolecis salina","Fungi","UNK",0
"19915","Rinodina oxydata","Fungi","5",0
"19916","Rinodina metaboliza","Fungi","UNK",0
"19917","Rhizocarpon geographicum","Fungi","5",0
"19918","Hookeria acutifolia","Plants","4",0
"19919","Lindbergia brachyptera","Plants","5",0
"19920","Pterigynandrum filiforme","Plants","5",0
"19921","Porpidia thomsonii","Fungi","3",0
"19922","Rhizocarpon tetramerum","Fungi","UNK",0
"19923","Campylophyllum hispidulum","Plants","5",0
"19924","Fissidens adianthoides","Plants","5",0
"19925","Orthotrichum flowersii","Plants","UNK",0
"19926","Pertusaria rubefacta","Fungi","4",0
"19927","Lecidea auriculata","Fungi","5",0
"19928","Diorygma poitaei","Fungi","UNK",0
"19929","Cetraria ericetorum","Fungi","5",0
"19930","Lecanactis salicina","Fungi","UNK",0
"19931","Micarea hedlundii","Fungi","UNK",0
"19932","Rinodina maculans","Fungi","UNK",0
"19933","Peltigera hymenina","Fungi","UNK",0
"19934","Ephebe lanata","Fungi","5",0
"19935","Polytrichum juniperinum","Plants","5",0
"19936","Polytrichum swartzii","Plants","5",0
"19937","Lichina confinis","Fungi","UNK",0
"19938","Mycoporum californicum","Fungi","1",0
"19939","Usnea mexicana","Fungi","UNK",0
"19940","Placidium arboreum","Fungi","5",0
"19941","Sanionia uncinata","Plants","5",0
"19942","Groutiella tumidula","Plants","4",0
"19943","Hygrocybe cantharellus","Fungi","UNK",0
"19944","Arrhenopterum heterostichum","Plants","5",0
"19945","Chaenothecopsis nana","Fungi","UNK",0
"19946","Lecanora polytropa","Fungi","5",0
"19947","Mnium lycopodioides","Plants","5",0
"19948","Dermatocarpon moulinsii","Fungi","UNK",0
"19949","Odontoschisma macounii","Plants","5",0
"19950","Parmotrema commensuratum","Fungi","UNK",0
"19951","Hypogymnia inactiva","Fungi","4",0
"19952","Strigula stigmatella","Fungi","4",0
"19953","Canoparmelia salacinifera","Fungi","UNK",0
"19954","Mnium marginatum","Plants","5",0
"19955","Polytrichastrum alpinum","Plants","5",0
"19956","Ramalina baltica","Fungi","UNK",0
"19957","Acarospora clauzadeana","Fungi","1",0
"19958","Pohlia longibracteata","Plants","4",0
"19959","Neoorthocaulis attenuatus","Plants","5",0
"19960","Gyalecta truncigena","Fungi","UNK",0
"19961","Riccia membranacea","Plants","4",0
"19962","Myochroidea rufofusca","Fungi","UNK",0
"19963","Lecanora cateilea","Fungi","UNK",0
"19964","Tortula plinthobia","Plants","4",0
"19965","Bryocaulon divergens","Fungi","5",0
"19966","Barbula unguiculata","Plants","5",0
"19967","Verrucaria dacryodes","Fungi","UNK",0
"19968","Fossombronia pusilla","Plants","UNK",0
"19969","Staurothele drummondii","Fungi","5",0
"19970","Anaptychia palmulata","Fungi","4",0
"19971","Ochrolechia bryophaga","Fungi","UNK",0
"19972","Parmotrema endosulphureum","Fungi","4",0
"19973","Campylopus subulatus","Plants","4",0
"19974","Dicranum montanum","Plants","5",0
"19975","Anacolia laevisphaera","Plants","5",0
"19976","Braunia secunda","Plants","5",0
"19977","Romjularia lurida","Fungi","UNK",0
"19978","Usnea australis","Fungi","UNK",0
"19979","Placopyrenium heppioides","Fungi","Prob. Extinct",0
"19980","Hypogymnia apinnata","Fungi","5",0
"19981","Thelotrema lepadinum","Fungi","4",0
"19982","Riccardia jugata","Plants","2 ",0
"19983","Orthotrichum pylaisii","Plants","4",0
"19984","Cladonia straminea","Fungi","5",0
"19985","Verrucaria fusconigrescens","Fungi","UNK",0
"19986","Verrucaria glaucovirens","Fungi","UNK",0
"19987","Lecanora valesiaca","Fungi","UNK",0
"19988","Didymodon maschalogena","Plants","1",0
"19989","Phyllopsora glabella","Fungi","UNK",0
"19990","Brachythecium coruscum","Plants","4",0
"19991","Hymenopellis radicata","Fungi","UNK",0
"19992","Mycenastrum corium","Fungi","5",0
